"Detalles de la queja, sugerencia o felicitación",etiqueta
felicitacion facilitacion proceso eficiencia,positiva
servicio rapido atento,positiva
deber incorporar materia clase virtual,neutra
felicitacion informacion,positiva
trabajo,neutra
cortina salón,neutra
cambio salón horrible,negativa
pensar diseno programa,neutra
actividad integrar grupo equipo,neutra
simplemente felicitacion,positiva
distribucion salón semestre confuso,negativa
aire libre,neutra
opcion juntar carrera pasar convivir,neutra
cambio innecesario andar buscar salón edificio mover él piso,negativa
gusto actividad gustar grupo carrera estir combinado,positiva
actividad integrador gusto dinamica,positiva
padre actividad,positiva
felicidad actividad movido obligar hablar alguien,positiva
instalación cuidado,neutra
proceso cabo practico eficiente descripcion taller profesora elso general excelente trabajo asignar jefatura formacion basico,positiva
contacto luz edificio ia servir falso contacto,negativa
administracion,neutra
mejorar servicio internet salón abajo,negativa
cupo regular,neutra
error masivo inscripcion,negativa
consultoria guiado estudiante participar elección escolar,neutra
felicitacion profesora incentivar herramienta proporcionar institucion,positiva
felicitacion profesor mosso problema papeleo cambio carrera ayudo completar procedimiento,positiva
actitud disponibilidad,positiva
actitud actitud,positiva
problema horario momento reinscripcion,negativa
funcionar wifi palapa ia urge reparar ocupar tarea trabajo dema clase libre adema clase edificio internet escuela computo acceso internet zona trabajar,negativa
servicio,neutra
finalacer semestre habiar dispersion fondo,neutra
queja cafeteria ofrecer producto alimento optir comida costoso gustario armar escuela comedor comunitario nombre comida precio accesible unicamente estudiante descuento estudiante,negativa
sentir seriar idea dejar inscribir materia semestre dexir cursar materia dejar to dejar meter vo semestre materia semestre,neutra
companero quedar grupo promedio acabar rapido lugar manana companero posibilidad trabajo reinscribir aparecer profesor asignar momento horario,neutra
dispersion apoyo extraordinario terminal ciclo escolar,neutra
especificamente edificio ia red internet deficiente necesidad,negativa
servicio internet intermitente constante ocasión funcionar deberio,negativa
pedi constancia estudio inscripcion dejar bajarla saes,neutra
facilitar informacion cubiculo asignado profesor pertenecer cubiculo,neutra
deberiar verificar sistema cita problema reinscripcion perdi caber materia,negativa
parecer inter encuesta profesor ensenar plano ensenar pese multipl encuesta escuela seguir asignandol grupo,neutra
rapir proceso amable persona atendio ayudo teniar tiempo entregar fua,positiva
atender gestion escolar portar grosero incompetente tomar prioridad superioridad,negativa
deber grupo opción ia lcd,neutra
gustariar sugerir poli contratado internet costar servir él comunidad manea eficiente observar practica distribuir él uniforme modems conectarno evitar saturacion mejorar calidad hora pico ideal seriar salon wifi dependeria presupuesto realmente problema necesitar conectado gestionar petición cobertura fallo salón ia er piso sentir cambiar sistema unam resolver,neutra
excelente servicio atencion rapida personal amable,positiva
muy buen trabajo felicitar equipo profesional,positiva
servicio calidad excepcional recomendar ampliamente,positiva
atencion esmerada personal capacitado resolver problema,positiva
muy satisfecho resultado obtenido muchas gracias,positiva
felicitar gestion rapida eficaz problema solucionado,positiva
personal muy amable ayudar resolver consulta,positiva
excelente trabajo continuar asi mejorar servicio,positiva
muy buen trato personal oficina central,positiva
servicio rapido eficiente resolver tramite,positiva
felicitar atencion recibida personal muy profesional,positiva
muy buena gestion resolver problema manera rapida,positiva
personal muy capacitado brindar informacion correcta,positiva
excelente servicio continuar mejorando,positiva
muy satisfecho atencion recibida muchas gracias,positiva
buen trabajo equipo resolver situacion,positiva
personal muy amable ayudar tramite,positiva
excelente atencion telefonica resolver consulta,positiva
muy buen servicio recomendar otras personas,positiva
felicitar rapidez resolver problema,positiva
personal muy profesional brindar atencion,positiva
servicio calidad seguir asi,positiva
muy buena atencion personal oficina,positiva
excelente trabajo resolver tramite rapidamente,positiva
personal muy eficiente resolver consulta,positiva
muy satisfecho servicio recibido gracias,positiva
buen trato personal muy amable,positiva
excelente gestion resolver problema,positiva
muy buena atencion seguir mejorando,positiva
personal capacitado resolver situacion,positiva
servicio rapido eficaz muchas gracias,positiva
felicitar atencion brindada personal,positiva
muy buen servicio continuar asi,positiva
excelente trabajo equipo profesional,positiva
personal muy amable resolver tramite,positiva
muy satisfecho resultado final gracias,positiva
mal servicio personal poco amable,negativa
mucha demora resolver tramite,negativa
personal capacitado brindar informacion,negativa
muy mal atencion telefonica,negativa
problema resolver mucho tiempo espera,negativa
personal poco profesional mal trato,negativa
servicio pesimo mejorar urgente,negativa
mucha demora atencion muy lenta,negativa
mal funcionamiento sistema,negativa
personal grosero mal atencion,negativa
problema grave resolver rapido,negativa
muy mal servicio cambiar personal,negativa
demora excesiva tramite sencillo,negativa
personal poco capacitado resolver problema,negativa
mal atencion oficina central,negativa
sistema funcionar correctamente,negativa
personal poco colaborador resolver consulta,negativa
muy mal organizacion interno,negativa
problema tecnico resolver,negativa
mal servicio mejorar atencion,negativa
personal poco amable mal trato,negativa
mucha demora resolver problema,negativa
mal funcionamiento pagina web,negativa
personal capacitado informacion incorrecta,negativa
muy mal atencion cambiar,negativa
problema resolver satisfactoriamente,negativa
mal servicio personal poco profesional,negativa
demora excesiva atencion cliente,negativa
sistema lento funcionar bien,negativa
personal grosero mejorar atencion,negativa
muy mal organizacion mejorar,negativa
problema grave resolver urgente,negativa
mal atencion telefonica personal,negativa
demora resolver tramite basico,negativa
personal poco colaborativo resolver,negativa
muy mal servicio cambiar urgente,negativa
problema tecnico solucionado,negativa
mal funcionamiento aplicacion,negativa
personal poco capacitado ayudar,negativa
mucha demora atencion pesima,negativa
mal servicio mejorar rapidamente,negativa
personal grosero cambiar actitud,negativa
problema resolver manera satisfactoria,negativa
muy mal atencion oficina,negativa
demora excesiva resolver consulta,negativa
sistema funcionar mal arreglar,negativa
personal poco profesional mejorar,negativa
muy mal organizacion cambiar,negativa
problema grave solucionado rapidamente,negativa
mal servicio personal capacitado,negativa
demora resolver problema sencillo,negativa
personal poco amable cambiar,negativa
muy mal atencion mejorar urgente,negativa
problema tecnico resolver pronto,negativa
mal funcionamiento mejorar sistema,negativa
personal grosero cambiar personal,negativa
mucha demora atencion lenta,negativa
mal servicio cambiar todo,negativa
problema resolver correctamente,negativa
muy mal organizacion mejorar todo,negativa
demora excesiva mejorar atencion,negativa
personal poco capacitado cambiar,negativa
mal servicio urgente mejorar,negativa
